Media,Model,Treatment,Initial Density,Days of incubation,E. huxleyi per mL
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,1,276
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,1,2759
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,1,27519
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,1,268661
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,1,28
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,1,276
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,1,2759
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,1,25282
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,1,60507
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,1,28
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,1,276
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,1,2759
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,1,21700
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,1,60504
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,1,28
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,1,274
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,1,2584
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,1,13744
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,1,67262
f/2,Virulent lytic-only,Uninfected,to the first,1,28
f/2,Virulent lytic-only,Uninfected,to the second,1,276
f/2,Virulent lytic-only,Uninfected,to the third,1,2759
f/2,Virulent lytic-only,Uninfected,to the fourth,1,27519
f/2,Virulent lytic-only,Uninfected,to the fifth,1,268661
f/2,Virulent lytic-only,Preinfected,to the first,1,6
f/2,Virulent lytic-only,Preinfected,to the second,1,61
f/2,Virulent lytic-only,Preinfected,to the third,1,605
f/2,Virulent lytic-only,Preinfected,to the fourth,1,6052
f/2,Virulent lytic-only,Preinfected,to the fifth,1,60507
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,1,6
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,1,61
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,1,605
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,1,6050
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,1,60504
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,1,28
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,1,276
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,1,2759
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,1,27519
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,1,67262
f/2,Temperate with phenomenological induction,Uninfected,to the first,1,28
f/2,Temperate with phenomenological induction,Uninfected,to the second,1,276
f/2,Temperate with phenomenological induction,Uninfected,to the third,1,2759
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,1,27519
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,1,268661
f/2,Temperate with phenomenological induction,Preinfected,to the first,1,28
f/2,Temperate with phenomenological induction,Preinfected,to the second,1,276
f/2,Temperate with phenomenological induction,Preinfected,to the third,1,2759
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,1,27519
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,1,60507
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,1,28
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,1,276
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,1,2759
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,1,27519
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,1,60504
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,2,75
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,2,750
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,2,7492
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,2,23955
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,2,41001
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,2,75
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,2,750
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,2,7492
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,2,74253
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,2,681778
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,2,75
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,2,750
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,2,7492
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,2,30391
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,2,36883
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,2,75
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,2,750
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,2,7492
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,2,13916
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,2,36881
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,2,75
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,2,738
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,2,6051
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,2,8871
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,2,41001
f/2,Virulent lytic-only,Uninfected,to the first,2,75
f/2,Virulent lytic-only,Uninfected,to the second,2,750
f/2,Virulent lytic-only,Uninfected,to the third,2,7492
f/2,Virulent lytic-only,Uninfected,to the fourth,2,74253
f/2,Virulent lytic-only,Uninfected,to the fifth,2,681778
f/2,Virulent lytic-only,Preinfected,to the first,2,4
f/2,Virulent lytic-only,Preinfected,to the second,2,37
f/2,Virulent lytic-only,Preinfected,to the third,2,370
f/2,Virulent lytic-only,Preinfected,to the fourth,2,3689
f/2,Virulent lytic-only,Preinfected,to the fifth,2,36883
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,2,4
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,2,37
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,2,369
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,2,3688
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,2,36881
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,2,75
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,2,750
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,2,7492
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,2,74253
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,2,41001
f/2,Temperate with phenomenological induction,Uninfected,to the first,2,75
f/2,Temperate with phenomenological induction,Uninfected,to the second,2,750
f/2,Temperate with phenomenological induction,Uninfected,to the third,2,7492
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,2,74253
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,2,681778
f/2,Temperate with phenomenological induction,Preinfected,to the first,2,75
f/2,Temperate with phenomenological induction,Preinfected,to the second,2,750
f/2,Temperate with phenomenological induction,Preinfected,to the third,2,7492
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,2,74253
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,2,36883
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,2,75
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,2,750
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,2,7492
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,2,74253
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,2,36881
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,3,208
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,3,2082
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,3,20691
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,3,16267
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,3,24621
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,3,208
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,3,2082
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,3,20691
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,3,200016
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,3,1550347
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,3,208
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,3,2082
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,3,20691
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,3,20642
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,3,22148
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,3,208
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,3,2082
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,3,20691
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,3,8756
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,3,22147
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,3,208
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,3,2028
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,3,11166
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,3,5328
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,3,24620
f/2,Virulent lytic-only,Uninfected,to the first,3,208
f/2,Virulent lytic-only,Uninfected,to the second,3,2082
f/2,Virulent lytic-only,Uninfected,to the third,3,20691
f/2,Virulent lytic-only,Uninfected,to the fourth,3,200016
f/2,Virulent lytic-only,Uninfected,to the fifth,3,1550347
f/2,Virulent lytic-only,Preinfected,to the first,3,2
f/2,Virulent lytic-only,Preinfected,to the second,3,23
f/2,Virulent lytic-only,Preinfected,to the third,3,223
f/2,Virulent lytic-only,Preinfected,to the fourth,3,2215
f/2,Virulent lytic-only,Preinfected,to the fifth,3,22148
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,3,2
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,3,22
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,3,221
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,3,2215
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,3,22147
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,3,208
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,3,2082
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,3,20691
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,3,200006
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,3,24620
f/2,Temperate with phenomenological induction,Uninfected,to the first,3,208
f/2,Temperate with phenomenological induction,Uninfected,to the second,3,2082
f/2,Temperate with phenomenological induction,Uninfected,to the third,3,20691
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,3,200016
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,3,1550347
f/2,Temperate with phenomenological induction,Preinfected,to the first,3,208
f/2,Temperate with phenomenological induction,Preinfected,to the second,3,2082
f/2,Temperate with phenomenological induction,Preinfected,to the third,3,20691
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,3,200013
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,3,22148
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,3,208
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,3,2082
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,3,20691
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,3,199988
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,3,22147
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,4,550
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,4,5509
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,4,52519
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,4,11206
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,4,15008
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,4,550
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,4,5509
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,4,53988
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,4,490112
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,4,2770544
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,4,550
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,4,5509
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,4,52385
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,4,14131
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,4,13500
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,4,550
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,4,5509
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,4,24961
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,4,5575
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,4,13500
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,4,549
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,4,5301
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,4,9812
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,4,3248
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,4,15008
f/2,Virulent lytic-only,Uninfected,to the first,4,550
f/2,Virulent lytic-only,Uninfected,to the second,4,5509
f/2,Virulent lytic-only,Uninfected,to the third,4,53988
f/2,Virulent lytic-only,Uninfected,to the fourth,4,490112
f/2,Virulent lytic-only,Uninfected,to the fifth,4,2770544
f/2,Virulent lytic-only,Preinfected,to the first,4,1
f/2,Virulent lytic-only,Preinfected,to the second,4,15
f/2,Virulent lytic-only,Preinfected,to the third,4,138
f/2,Virulent lytic-only,Preinfected,to the fourth,4,1350
f/2,Virulent lytic-only,Preinfected,to the fifth,4,13500
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,4,1
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,4,13
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,4,135
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,4,1350
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,4,13500
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,4,550
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,4,5509
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,4,53988
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,4,162614
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,4,15008
f/2,Temperate with phenomenological induction,Uninfected,to the first,4,550
f/2,Temperate with phenomenological induction,Uninfected,to the second,4,5509
f/2,Temperate with phenomenological induction,Uninfected,to the third,4,53988
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,4,490112
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,4,2770544
f/2,Temperate with phenomenological induction,Preinfected,to the first,4,550
f/2,Temperate with phenomenological induction,Preinfected,to the second,4,5509
f/2,Temperate with phenomenological induction,Preinfected,to the third,4,53988
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,4,194793
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,4,13500
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,4,550
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,4,5509
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,4,53988
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,4,138500
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,4,13500
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,5,1430
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,5,14323
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,5,76565
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,5,7729
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,5,9148
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,5,1430
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,5,14323
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,5,136558
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,5,1091727
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,5,4012308
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,5,1430
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,5,14323
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,5,80487
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,5,9733
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,5,8229
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,5,1430
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,5,14323
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,5,17596
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,5,3544
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,5,8229
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,5,1425
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,5,13344
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,5,6051
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,5,1980
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,5,9148
f/2,Virulent lytic-only,Uninfected,to the first,5,1430
f/2,Virulent lytic-only,Uninfected,to the second,5,14323
f/2,Virulent lytic-only,Uninfected,to the third,5,136558
f/2,Virulent lytic-only,Uninfected,to the fourth,5,1091727
f/2,Virulent lytic-only,Uninfected,to the fifth,5,4012308
f/2,Virulent lytic-only,Preinfected,to the first,5,1
f/2,Virulent lytic-only,Preinfected,to the second,5,11
f/2,Virulent lytic-only,Preinfected,to the third,5,86
f/2,Virulent lytic-only,Preinfected,to the fourth,5,823
f/2,Virulent lytic-only,Preinfected,to the fifth,5,8229
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,5,1
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,5,8
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,5,82
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,5,823
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,5,8229
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,5,1430
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,5,14323
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,5,136558
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,5,99124
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,5,9148
f/2,Temperate with phenomenological induction,Uninfected,to the first,5,1430
f/2,Temperate with phenomenological induction,Uninfected,to the second,5,14323
f/2,Temperate with phenomenological induction,Uninfected,to the third,5,136558
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,5,1091727
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,5,4012308
f/2,Temperate with phenomenological induction,Preinfected,to the first,5,1430
f/2,Temperate with phenomenological induction,Preinfected,to the second,5,14323
f/2,Temperate with phenomenological induction,Preinfected,to the third,5,136558
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,5,118739
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,5,8229
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,5,1430
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,5,14323
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,5,136558
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,5,84425
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,5,8229
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,6,3751
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,6,37564
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,6,46388
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,6,5258
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,6,5493
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,6,3751
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,6,37570
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,6,340090
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,6,2149487
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,6,5044575
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,6,3751
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,6,37509
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,6,48883
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,6,6638
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,6,4942
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,6,3751
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,6,36296
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,6,12001
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,6,2218
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,6,4941
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,6,3736
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,6,27235
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,6,3634
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,6,1189
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,6,5493
f/2,Virulent lytic-only,Uninfected,to the first,6,3751
f/2,Virulent lytic-only,Uninfected,to the second,6,37570
f/2,Virulent lytic-only,Uninfected,to the third,6,340090
f/2,Virulent lytic-only,Uninfected,to the fourth,6,2149487
f/2,Virulent lytic-only,Uninfected,to the fifth,6,5044575
f/2,Virulent lytic-only,Preinfected,to the first,6,1
f/2,Virulent lytic-only,Preinfected,to the second,6,12
f/2,Virulent lytic-only,Preinfected,to the third,6,56
f/2,Virulent lytic-only,Preinfected,to the fourth,6,494
f/2,Virulent lytic-only,Preinfected,to the fifth,6,4942
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,6,0
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,6,5
